levelId,phase,unitCount,obstacleCount,gateCount,switchCount,multiCellUnitCount,initialAvailableMoves,minRotateRequired
level-001,1,2,0,0,0,0,1,0
level-002,1,3,0,0,0,0,1,0
level-003,1,4,0,0,0,0,1,0
level-004,1,2,1,0,0,0,1,0
level-005,1,3,0,0,0,0,1,0
level-006,1,4,0,0,0,0,1,0
level-007,1,2,0,0,0,0,1,0
level-008,1,3,1,0,0,0,1,0
level-009,1,4,0,0,0,0,1,0
level-010,1,2,0,0,0,0,1,0
level-011,1,3,0,0,0,0,1,0
level-012,1,4,1,0,0,0,1,0
level-013,1,2,0,0,0,0,1,0
level-014,1,3,0,0,0,0,1,0
level-015,1,4,0,0,0,0,1,0
level-016,1,2,1,0,0,0,1,0
level-017,1,3,0,0,0,0,1,0
level-018,1,4,0,0,0,0,1,0
level-019,1,2,0,0,0,0,1,0
level-020,1,3,1,0,0,0,1,0
level-021,2,8,1,0,0,0,2,0
level-022,2,8,1,0,0,1,2,0
level-023,2,10,2,0,0,0,3,0
level-024,2,8,1,0,0,0,2,0
level-025,2,8,1,0,0,1,2,0
level-026,2,10,2,0,0,0,3,0
level-027,2,8,1,0,0,0,2,0
level-028,2,8,1,0,0,1,2,0
level-029,2,10,2,0,0,0,3,0
level-030,2,8,1,0,0,0,2,0
level-031,2,8,1,0,0,1,2,0
level-032,2,10,2,0,0,0,3,0
level-033,2,8,1,0,0,0,2,0
level-034,2,8,1,0,0,1,2,0
level-035,2,10,2,0,0,0,3,0
level-036,2,8,1,0,0,0,2,0
level-037,2,8,1,0,0,1,2,0
level-038,2,10,2,0,0,0,3,0
level-039,2,8,1,0,0,0,2,0
level-040,2,8,1,0,0,1,2,0
level-041,3,11,0,1,1,1,3,0
level-042,3,12,0,1,1,0,2,0
level-043,3,11,0,1,1,1,3,0
level-044,3,12,0,1,1,1,3,0
level-045,3,11,0,1,1,1,3,0
level-046,3,12,0,1,1,0,2,0
level-047,3,11,0,1,1,1,3,0
level-048,3,12,0,1,1,1,3,0
level-049,3,11,0,1,1,1,3,0
level-050,3,12,0,1,1,0,2,0
level-051,3,11,0,1,1,1,3,0
level-052,3,12,0,1,1,1,3,0
level-053,3,11,0,1,1,1,3,0
level-054,3,12,0,1,1,0,2,0
level-055,3,11,0,1,1,1,3,0
level-056,3,12,0,1,1,1,3,0
level-057,3,11,0,1,1,1,3,0
level-058,3,12,0,1,1,0,2,0
level-059,3,11,0,1,1,1,3,0
level-060,3,12,0,1,1,1,3,0
level-061,4,15,1,1,1,1,2,0
level-062,4,14,1,1,1,0,1,0
level-063,4,16,1,1,1,1,2,0
level-064,4,13,1,1,1,0,1,0
level-065,4,15,1,1,1,1,2,0
level-066,4,14,1,1,1,0,1,0
level-067,4,16,1,1,1,1,2,0
level-068,4,13,1,1,1,0,1,0
level-069,4,15,1,1,1,1,2,0
level-070,4,14,1,1,1,0,1,0
level-071,4,16,1,1,1,1,2,0
level-072,4,13,1,1,1,0,1,0
level-073,4,15,1,1,1,1,2,0
level-074,4,14,1,1,1,0,1,0
level-075,4,16,1,1,1,1,2,0
level-076,4,13,1,1,1,0,1,0
level-077,4,15,1,1,1,1,2,0
level-078,4,14,1,1,1,0,1,0
level-079,4,16,1,1,1,1,2,0
level-080,4,13,1,1,1,0,1,0
level-081,5,16,1,1,1,1,2,0
level-082,5,16,1,1,1,1,2,0
level-083,5,16,1,1,1,1,2,0
level-084,5,15,1,1,1,1,2,0
level-085,5,16,1,1,1,1,2,0
level-086,5,16,1,1,1,1,2,0
level-087,5,16,1,1,1,1,2,0
level-088,5,15,1,1,1,1,2,0
level-089,5,16,1,1,1,1,2,0
level-090,5,16,1,1,1,1,2,0
level-091,5,16,1,1,1,1,2,0
level-092,5,15,1,1,1,1,2,0
level-093,5,16,1,1,1,1,2,0
level-094,5,16,1,1,1,1,2,0
level-095,5,16,1,1,1,1,2,0
level-096,5,15,1,1,1,1,2,0
level-097,5,16,1,1,1,1,2,0
level-098,5,16,1,1,1,1,2,0
level-099,5,16,1,1,1,1,2,0
level-100,5,15,1,1,1,1,2,0
